order_id,customer_id,product_id,order_date,amount_ordered,order_total
1,100101,1001,1/30/2020,20,32.1
2,100110,1002,8/25/2021,4,10.7
3,100106,1005,12/12/2022,6,14.45
4,100103,1007,3/22/2018,4,8.56
5,100102,1003,8/25/2017,10,18.73
6,100108,1009,11/18/2018,1,15.52
7,100101,1001,9/20/2022,2,3.21
8,100104,1008,6/8/2018,3,41.73
9,100105,1007,7/5/2019,1,2.14
10,100106,1006,4/22/2018,11,182.44
11,100103,1001,11/18/2019,1,1.6
12,100101,1003,9/20/2018,4,7.28
13,100104,1008,6/8/2020,4,55.64
14,100102,1009,7/5/2022,2,31.03
15,100104,1006,4/22/2020,15,248.78
